1	1	1	1
1	1	1	3
1	2	1	2
1	2	1	4
2	5	1	1
2	5	2	3
2	6	2	2
2	6	2	4
3	9	2	1
3	9	-1	3
3	10	-1	2
3	10	-1	4
4	13	-1	1
4	13	-2	3
4	14	-2	2
4	14	-2	4
5	17	-2	1
5	17	0	3
5	18	0	2
5	18	0	4
1	19	1	1
1	19.5	1	3
1	20	1	2
1	20.5	1	4
2	21	1	1
2	21.5	2	3
2	22	2	2
2	22.5	2	4
3	23	2	1
3	23.25	-1	3
3	23.5	-1	2
3	23.75	-1	4
4	24	-1	1
4	24.25	-2	3
4	24.5	-2	2
4	24.75	-2	4
5	25	-2	1
5	25.25	1	3
5	25.5	1	2
5	25.75	1	4
10	28	1	2
10	28.25	1	2
10	28.5	1	2
10	28.75	1	2
10	29	1	2
10	29.25	1	2
10	29.5	1	2
10	29.75	1	2
10	30	1	2
10	30.25	1	2
10	30.5	1	2
10	30.75	1	2
10	31	1	2
10	31.25	1	2
10	31.5	1	2
10	31.75	1	2
10	32	1	2
10	32.25	1	2
10	32.5	1	2
10	32.75	1	2
10	33	1	2
10	33.25	1	2
10	33.5	1	2
10	33.75	1	2
10	34	1	2
10	34.25	1	2
10	34.5	1	4
10	34.75	1	4
10	35	1	4
10	35.25	1	4
10	35.5	1	4
10	35.75	1	4
10	36	1	4
10	36.25	1	4
10	36.5	1	4
10	36.75	1	4
10	37	1	4
10	37.25	1	4
10	37.5	1	4
10	37.75	1	4
10	38	1	4
10	38.25	1	4
10	38.5	1	4
10	38.75	1	4
10	39	1	4
10	39.25	1	4
10	39.5	1	4
10	39.75	1	4
10	40	1	4
